;Country;Region;Population;Area (sq. mi.);Pop. Density (per sq. mi.);Coastline (coast/area ratio);Net migration;Infant mortality (per 1000 births);GDP ($ per capita);Literacy (%);Phones (per 1000);Arable (%);Crops (%);Other (%);Climate;Birthrate;Deathrate;Agriculture;Industry;Service;Unnamed: 20
0;Afghanistan ;ASIA (EX. NEAR EAST)         ;31056997;647500;48.0;0.0;23.06;163.07;700.0;36.0;3.2;12.13;0.22;87.65;1.0;46.6;20.34;0.38;0.24;0.38;
4;Andorra ;WESTERN EUROPE                     ;71201;468;152.1;0.0;6.6;4.05;19000.0;100.0;497.2;2.22;0.0;97.78;3.0;8.71;6.25;;;;
9;Armenia ;C.W. OF IND. STATES ;2976372;29800;99.9;0.0;-6.47;23.28;3500.0;98.6;195.7;17.55;2.3;80.15;4.0;12.07;8.23;0.239;0.34299999999999997;0.418;
12;Austria ;WESTERN EUROPE                     ;8192880;83870;97.7;0.0;2.0;4.66;30000.0;98.0;452.2;16.91;0.86;82.23;3.0;8.74;9.76;0.018000000000000002;0.304;0.6779999999999999;
13;Azerbaijan ;C.W. OF IND. STATES ;7961619;86600;91.9;0.0;-4.9;81.74;3400.0;97.0;137.1;19.63;2.71;77.66;1.0;20.74;9.75;0.141;0.457;0.402;
18;Belarus ;C.W. OF IND. STATES ;10293011;207600;49.6;0.0;2.54;13.37;6100.0;99.6;319.1;29.55;0.6;69.85;4.0;11.16;14.02;0.09300000000000001;0.316;0.591;
23;Bhutan ;ASIA (EX. NEAR EAST)         ;2279723;47000;48.5;0.0;0.0;100.44;1300.0;42.2;14.3;3.09;0.43;96.48;2.0;33.65;12.7;0.258;0.379;0.363;
24;Bolivia ;LATIN AMER. & CARIB    ;8989046;1098580;8.2;0.0;-1.32;53.11;2400.0;87.2;71.9;2.67;0.19;97.14;1.5;23.3;7.53;0.128;0.35200000000000004;0.52;
26;Botswana ;SUB-SAHARAN AFRICA                 ;1639833;600370;2.7;0.0;0.0;54.58;9000.0;79.8;80.5;0.65;0.01;99.34;1.0;23.08;29.5;0.024;0.469;0.507;
31;Burkina Faso ;SUB-SAHARAN AFRICA                 ;13902972;274200;50.7;0.0;0.0;97.57;1100.0;26.6;7.0;14.43;0.19;85.38;2.0;45.62;15.6;0.322;0.196;0.48200000000000004;
33;Burundi ;SUB-SAHARAN AFRICA                 ;8090068;27830;290.7;0.0;-0.06;69.29;600.0;51.6;3.4;35.05;14.02;50.93;2.0;42.22;13.46;0.46299999999999997;0.203;0.33399999999999996;
39;Central African Rep. ;SUB-SAHARAN AFRICA                 ;4303356;622984;6.9;0.0;0.0;91.0;1100.0;51.0;2.3;3.1;0.14;96.76;2.0;33.91;18.65;0.55;0.2;0.25;
40;Chad ;SUB-SAHARAN AFRICA                 ;9944201;1284000;7.7;0.0;-0.11;93.82;1200.0;47.5;1.3;2.86;0.02;97.12;2.0;45.73;16.38;0.335;0.259;0.406;
45;Congo, Dem. Rep. ;SUB-SAHARAN AFRICA                 ;62660551;2345410;26.7;0.0;0.0;94.69;700.0;65.5;0.2;2.96;0.52;96.52;2.0;43.69;13.27;0.55;0.11;0.34;
53;Czech Republic ;EASTERN EUROPE                     ;10235455;78866;129.8;0.0;0.97;3.93;15700.0;99.9;314.3;39.8;3.05;57.15;3.0;9.02;10.59;0.034;0.39299999999999996;0.573;
65;Ethiopia ;SUB-SAHARAN AFRICA                 ;74777981;1127127;66.3;0.0;0.0;95.32;700.0;42.7;8.2;10.71;0.75;88.54;2.0;37.98;14.86;0.475;0.099;0.426;
92;Hungary ;EASTERN EUROPE                     ;9981334;93030;107.3;0.0;0.86;8.57;13900.0;99.4;336.2;50.09;2.06;47.85;3.0;9.72;13.11;0.037000000000000005;0.312;0.6509999999999999;
106;Kazakhstan ;C.W. OF IND. STATES ;15233244;2717300;5.6;0.0;-3.35;29.21;6300.0;98.4;164.1;7.98;0.05;91.97;4.0;16.0;9.42;0.067;0.386;0.547;
112;Kyrgyzstan ;C.W. OF IND. STATES ;5213898;198500;26.3;0.0;-2.45;35.64;1600.0;97.0;84.0;7.3;0.35;92.35;2.5;22.8;7.08;0.353;0.20800000000000002;0.439;
113;Laos ;ASIA (EX. NEAR EAST)         ;6368481;236800;26.9;0.0;0.0;85.22;1700.0;66.4;14.1;3.8;0.35;95.85;2.0;35.49;11.55;0.455;0.287;0.258;
116;Lesotho ;SUB-SAHARAN AFRICA                 ;2022331;30355;66.6;0.0;-0.74;84.23;3000.0;84.8;23.7;10.87;0.13;89.0;3.0;24.75;28.71;0.163;0.44299999999999995;0.39399999999999996;
119;Liechtenstein ;WESTERN EUROPE                     ;33987;160;212.4;0.0;4.85;4.7;25000.0;100.0;585.5;25.0;0.0;75.0;4.0;10.21;7.18;0.06;0.39;0.55;
121;Luxembourg ;WESTERN EUROPE                     ;474413;2586;183.5;0.0;8.97;4.81;55100.0;100.0;515.4;23.28;0.4;76.32;;11.94;8.41;0.01;0.13;0.86;
123;Macedonia ;EASTERN EUROPE                     ;2050554;25333;80.9;0.0;-1.45;10.09;6700.0;;260.0;22.26;1.81;75.93;3.0;12.02;8.77;0.11800000000000001;0.319;0.563;
125;Malawi ;SUB-SAHARAN AFRICA                 ;13013926;118480;109.8;0.0;0.0;103.32;600.0;62.7;7.9;23.38;1.49;75.13;2.0;43.13;19.33;0.342;0.158;0.499;
128;Mali ;SUB-SAHARAN AFRICA                 ;11716829;1240000;9.5;0.0;-0.33;116.79;900.0;46.4;6.4;3.82;0.03;96.15;2.0;49.82;16.89;0.45;0.17;0.38;
137;Moldova ;C.W. OF IND. STATES ;4466706;33843;132.0;0.0;-0.26;40.42;1800.0;99.1;208.1;55.3;10.79;33.91;;15.7;12.64;0.213;0.233;0.555;
139;Mongolia ;ASIA (EX. NEAR EAST)         ;2832224;1564116;1.8;0.0;0.0;53.79;1800.0;97.8;55.1;0.77;0.0;99.23;1.0;21.59;6.95;0.20600000000000002;0.214;0.58;
145;Nepal ;ASIA (EX. NEAR EAST)         ;28287147;147181;192.2;0.0;0.0;66.98;1400.0;45.2;15.9;21.68;0.64;77.68;;30.98;9.31;0.38;0.21;0.41;
151;Niger ;SUB-SAHARAN AFRICA                 ;12525094;1267000;9.9;0.0;-0.67;121.69;800.0;17.6;1.9;3.54;0.01;96.45;1.0;50.73;20.91;0.39;0.17;0.44;
160;Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;16.0;0.0;-0.08;25.63;4700.0;94.0;49.2;7.6;0.23;92.17;2.0;29.1;4.49;0.22399999999999998;0.207;0.569;
170;Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;328.4;0.0;0.0;91.23;1300.0;70.4;2.7;40.54;12.16;47.3;3.0;40.37;16.09;0.401;0.22899999999999998;0.37;
177;San Marino ;WESTERN EUROPE                     ;29251;61;479.5;0.0;10.98;5.73;34600.0;96.0;704.3;16.67;0.0;83.33;;10.02;8.17;;;;
181;Serbia ;EASTERN EUROPE                     ;9396411;88361;106.3;0.0;-1.33;12.89;2200.0;93.0;285.8;33.35;3.2;63.45;;;;0.166;0.255;0.579;
185;Slovakia ;EASTERN EUROPE                     ;5439448;48845;111.4;0.0;0.3;7.41;13300.0;;220.1;30.16;2.62;67.22;3.0;10.65;9.45;0.035;0.294;0.672;
